date,cause,number
3/4/2021,Mine-Related Incident,1
3/4/2021,Mine-Related Incident,1
3/4/2021,Mine-Related Incident,1
3/4/2021,Other,1
4/4/2021,Sniper Fire,1
4/4/2021,Mine-Related Incident,1
6/4/2021,Explosive Remnants of War,1
6/4/2021,Mine-Related Incident,1
6/4/2021,Mine-Related Incident,1
7/4/2021,Mine-Related Incident,1
8/4/2021,Sniper Fire,1
8/4/2021,Shelling,1
9/4/2021,Sniper Fire,1
15/4/2021,Mine-Related Incident,1
17/4/2021,Shelling,1
18/4/2021,Shelling,1
18/4/2021,Shelling,1
18/4/2021,Small Arms and Light Weapons ,1
20/4/2021,Shelling,1
27/4/2021,Mine-Related Incident,1
27/4/2021,Other,1
29/4/2021,Other,1
1/5/2021,Other,1
2/5/2021,Explosive Remnants of War,1
3/5/2021,Sniper Fire,1
4/5/2021,Sniper Fire,1
5/5/2021,Other,1
5/5/2021,Other,1
6/5/2021,Shelling,1
6/5/2021,Shelling,1
6/5/2021,Shelling,1
6/5/2021,Other,1
11/5/2021,Shelling,1
11/5/2021,Shelling,1
11/5/2021,Shelling,1
18/5/2021,Shelling,1
6/6/2021,Mine-Related Incident,1
11/6/2021,Shelling,1
11/6/2021,Small Arms and Light Weapons ,1
11/6/2021,Small Arms and Light Weapons ,1
11/6/2021,Small Arms and Light Weapons ,1
11/6/2021,Small Arms and Light Weapons ,1
11/6/2021,Small Arms and Light Weapons ,1
21/6/2021,Mine-Related Incident,1
21/6/2021,Mine-Related Incident,1
21/6/2021,Mine-Related Incident,1
21/6/2021,Mine-Related Incident,1
21/6/2021,Mine-Related Incident,1
24/6/2021,Drones and Airstrikes,1
26/6/2021,Shelling,1
1/7/2021,Small Arms and Light Weapons,1
1/7/2021,Other,1
4/7/2021,Small Arms and Light Weapons ,1
5/7/2021,Small Arms and Light Weapons ,1
5/7/2021,Mine-Related Incident,1
8/7/2021,Sniper Fire,1
9/7/2021,Sniper Fire,1
13/7/2021,Shelling,1
13/7/2021,Shelling,1
13/7/2021,Shelling,1
15/7/2021,Shelling,1
28/7/2021,Shelling,1
28/7/2021,Shelling,1
28/7/2021,Shelling,1
30/7/2021,Shelling,1
30/7/2021,Shelling,1
30/7/2021,Shelling,1
30/7/2021,Shelling,1
30/7/2021,Other,1
1/8/2021,Drones and Airstrikes,1
7/8/2021,Small Arms and Light Weapons ,1
10/8/2021,Small Arms and Light Weapons ,1
16/8/2021,Sniper Fire,1
17/8/2021,Other,1
18/8/2021,Small Arms and Light Weapons,1
19/8/2021,Sniper Fire,1
22/8/2021,Small Arms and Light Weapons ,1
23/8/2021,Sniper Fire,1
24/8/2021,Small Arms and Light Weapons,1
27/8/2021,Sniper Fire,1
28/8/2021,Other,1
29/8/2021,Mine-Related Incident,1
30/8/2021,Shelling,1
3/9/2021,Other,1
4/9/2021,Other,1
11/9/2021,Shelling,1
11/9/2021,Shelling,1
12/9/2021,Small Arms and Light Weapons ,1
12/9/2021,Shelling,1
13/9/2021,Sniper Fire,1
13/9/2021,Other,1
17/9/2021,Other,1
21/9/2021,Sniper Fire,1
24/9/2021,Other,1
26/9/2021,Small Arms and Light Weapons ,1
26/9/2021,Mine-Related Incident,1
28/9/2021,Sniper Fire,1
30/9/2021,Shelling,1
2/10/2021,Drones and Airstrikes,1
10/10/2021,Other,1
18/10/2021,Sniper Fire,1
20/10/2021,Other,1
22/10/2021,Other,1
22/10/2021,Other,1
23/10/2021,Other,1
25/10/2021,Other,1
26/10/2021,Shelling,1
27/10/2021,Small Arms and Light Weapons ,1
28/10/2021,Other,1
2/11/2021,Other,1
2/11/2021,Sniper Fire,1
4/11/2021,Shelling,1
7/11/2021,Shelling,1
7/11/2021,Other,1
11/11/2021,Small Arms and Light Weapons ,1
12/11/2021,Mine-Related Incident,1
12/11/2021,Mine-Related Incident,1
19/11/2021,Small Arms and Light Weapons ,1
20/11/2021,Other,1
26/11/2021,Sniper Fire,1
28/11/2021,Small Arms and Light Weapons ,1
1/12/2021,Shelling,1
10/12/2021,Drones and Airstrikes,1
10/12/2021,Drones and Airstrikes,1
16/12/2021,Sniper Fire,1
18/12/2021,Shelling,1
25/12/2021,Other,1
31/12/2021,Small Arms and Light Weapons ,1
10/1/2022,Mine-Related Incident,2
11/1/2022,Sniper Fire,1
14/1/2022,Shelling,1
21/1/2022,Mine-Related Incident,1
26/1/2022,Other,1
27/1/2022,Small Arms and Light Weapons ,1
28/1/2022,Other,1
