date,group,location,number
7/9/2020,Ukrainian Military Killed,Toretsk,1
16/9/2020,Civilian Killed,Luhansk,1
22/9/2020,Armed Groups Killed,Donetsk,1
30/9/2020,Civilian Killed,Zymohirya,1
14/10/2020,Armed Groups Killed,Novoazovsk,1
17/10/2020,Civilian Killed,Shchastia,1
29/10/2020,Armed Groups Killed,Novoazovsk,1
30/10/2020,Ukrainian Military Killed,Sartana,1
30/10/2020,Ukrainian Military Killed,Sartana,1
30/10/2020,Civilian Killed,Horlivka,1
30/10/2020,Civilian Killed,Horlivka,1
30/10/2020,Civilian Killed,Horlivka,1
6/11/2020,Armed Groups Killed,Yasynuvata,1
6/11/2020,Armed Groups Killed,Yasynuvata,1
24/11/2020,Ukrainian Military Killed,Avdiivka,1
4/12/2020,Armed Groups Killed,Novoazovsk,1
4/12/2020,Armed Groups Killed,Novoazovsk,1
14/12/2020,Ukrainian Military Killed,Hirske,1
18/12/2020,Armed Groups Killed,Novoazovsk,1
18/12/2020,Armed Groups Killed,Novoazovsk,1
22/12/2020,Armed Groups Killed,Debaltseve,1
22/12/2020,Armed Groups Killed,Debaltseve,1
2/1/2021,Armed Groups Killed,Kadiivka,1
11/1/2021,Ukrainian Military Killed,Ocheretyne,1
14/1/2021,Armed Groups Killed,Svitlodarsk,1
21/1/2021,Ukrainian Military Killed,Sartana,1
21/1/2021,Armed Groups Killed,Novoazovsk,1
23/1/2021,Armed Groups Killed,Donetsk,1
26/1/2021,Ukrainian Military Killed,Popasna,1
2/2/2021,Ukrainian Military Killed,Toretsk,1
6/2/2021,Ukrainian Military Killed,Mariinka,1
6/2/2021,Ukrainian Military Killed,Mariinka,1
8/2/2021,Civilian Killed,Olhynka,1
8/2/2021,Civilian Killed,Snizhne,1
11/2/2021,Ukrainian Military Killed,Svitlodarsk,1
11/2/2021,Ukrainian Military Killed,Mariinka,1
14/2/2021,Ukrainian Military Killed,Svitlodarsk,1
14/2/2021,Ukrainian Military Killed,Svitlodarsk,1
14/2/2021,Ukrainian Military Killed,Svitlodarsk,1
20/2/2021,Armed Groups Killed,Horlivka,1
20/2/2021,Armed Groups Killed,Horlivka,1
20/2/2021,Armed Groups Killed,Horlivka,1
20/2/2021,Armed Groups Killed,Horlivka,1
20/2/2021,Armed Groups Killed,Horlivka,1
20/2/2021,Armed Groups Killed,Horlivka,1
20/2/2021,Armed Groups Killed,Horlivka,1
21/2/2021,Armed Groups Killed,Horlivka,1
22/2/2021,Ukrainian Military Killed,Avdiivka,1
23/2/2021,Ukrainian Military Killed,Shchastia,1
23/2/2021,Ukrainian Military Killed,Svitlodarsk,1
23/2/2021,Civilian Killed,Hirske,1
26/2/2021,Armed Groups Killed,Novoazovsk,1
28/2/2021,Ukrainian Military Killed,Sartana,1
1/3/2021,Civilian Killed,Snizhne,1
1/3/2021,Civilian Killed,Snizhne,1
3/3/2021,Armed Groups Killed,Yasynuvata,1
4/3/2021,Armed Groups Killed,Novoazovsk,1
5/3/2021,Armed Groups Killed,Horlivka,1
5/3/2021,Armed Groups Killed,Horlivka,1
10/3/2021,Ukrainian Military Killed,Myrne,1
10/3/2021,Armed Groups Killed,Sartana,1
12/3/2021,Ukrainian Military Killed,Mariinka,1
12/3/2021,Armed Groups Killed,Kadiivka,1
12/3/2021,Armed Groups Killed,Unknown,1
17/3/2021,Armed Groups Killed,Unknown,1
17/3/2021,Armed Groups Killed,Horlivka,1
18/3/2021,Ukrainian Military Killed,Toretsk,1
19/3/2021,Ukrainian Military Killed,Sartana,1
20/3/2021,Ukrainian Military Killed,Toretsk,1
22/3/2021,Armed Groups Killed,Donetsk,1
22/3/2021,Armed Groups Killed,Donetsk,1
22/3/2021,Civilian Killed,Donetsk,1
26/3/2021,Ukrainian Military Killed,Toretsk,1
26/3/2021,Ukrainian Military Killed,Toretsk,1
26/3/2021,Ukrainian Military Killed,Toretsk,1
26/3/2021,Ukrainian Military Killed,Toretsk,1
2/4/2021,Civilian Killed,Yenakieve,1
3/4/2021,Armed Groups Killed,Unknown,1
